Time,Amplitude,F_Sampling
0,-3.3,500
0.001,-3.8,
0.002,-4.4,
0.003,-5,
0.004,-5.6,
0.005,-6.2,
0.006,-6.8,
0.007,-7.4,
0.008,-8,
0.009,-8.6,
0.01,-9,
0.011,-9.4,
0.012,-9.8,
0.013,-10.2,
0.014,-10.5,
0.015,-10.8,
0.016,-11.1,
0.017,-11.4,
0.018,-11.6,
0.019,-11.9,
0.02,-12.2,
0.021,-12.6,
0.022,-12.9,
0.023,-13.2,
0.024,-13.5,
0.025,-13.8,
0.026,-14.2,
0.027,-14.6,
0.028,-15,
0.029,-15.3,
0.03,-15.5,
0.031,-15.7,
0.032,-16,
0.033,-16.3,
0.034,-16.6,
0.035,-17,
0.036,-17.3,
0.037,-17.5,
0.038,-17.7,
0.039,-17.9,
0.04,-18.2,
0.041,-18.3,
0.042,-18.5,
0.043,-18.6,
0.044,-18.8,
0.045,-18.9,
0.046,-18.9,
0.047,-19,
0.048,-18.9,
0.049,-18.9,
0.05,-18.7,
0.051,-18.6,
0.052,-18.4,
0.053,-18.2,
0.054,-17.9,
0.055,-17.7,
0.056,-17.4,
0.057,-17.1,
0.058,-16.8,
0.059,-16.4,
0.06,-16.1,
0.061,-15.7,
0.062,-15.3,
0.063,-14.9,
0.064,-14.5,
0.065,-14.1,
0.066,-13.6,
0.067,-13.2,
0.068,-12.8,
0.069,-12.4,
0.07,-12.1,
0.071,-11.8,
0.072,-11.6,
0.073,-11.3,
0.074,-11.1,
0.075,-10.9,
0.076,-10.7,
0.077,-10.5,
0.078,-10.3,
0.079,-10.1,
0.08,-9.9,
0.081,-9.8,
0.082,-9.8,
0.083,-9.7,
0.084,-9.7,
0.085,-9.6,
0.086,-9.4,
0.087,-9.2,
0.088,-9,
0.089,-8.7,
0.09,-8.3,
0.091,-7.8,
0.092,-7.2,
0.093,-6.5,
0.094,-5.9,
0.095,-5.2,
0.096,-4.6,
0.097,-4,
0.098,-3.5,
0.099,-3,
0.1,-2.5,
0.101,-2,
0.102,-1.5,
0.103,-1,
0.104,-0.6,
0.105,-0.3,
0.106,0.1,
0.107,0.3,
0.108,0.6,
0.109,0.8,
0.11,1,
0.111,1.2,
0.112,1.4,
0.113,1.6,
0.114,1.8,
0.115,1.9,
0.116,2.1,
0.117,2.2,
0.118,2.3,
0.119,2.5,
0.12,2.7,
0.121,2.8,
0.122,2.9,
0.123,3.1,
0.124,3.2,
0.125,3.4,
0.126,3.5,
0.127,3.7,
0.128,3.8,
0.129,3.9,
0.13,4,
0.131,4.1,
0.132,4.2,
0.133,4.3,
0.134,4.3,
0.135,4.4,
0.136,4.4,
0.137,4.5,
0.138,4.5,
0.139,4.5,
0.14,4.5,
0.141,4.5,
0.142,4.5,
0.143,4.4,
0.144,4.3,
0.145,4.2,
0.146,4.2,
0.147,4.1,
0.148,4,
0.149,4,
0.15,4,
0.151,4,
0.152,4,
0.153,4.1,
0.154,4.2,
0.155,4.4,
0.156,4.5,
0.157,4.5,
0.158,4.5,
0.159,4.4,
0.16,4.4,
0.161,4.3,
0.162,4.3,
0.163,4.2,
0.164,4.1,
0.165,4,
0.166,3.9,
0.167,3.7,
0.168,3.6,
