Time,Amplitude,F_Sampling
0,0,500
0.002,0.598533209,
0.004,1.169502111,
0.006,1.687071456,
0.008,2.128741037,
0.01,2.476714696,
0.012,2.718936063,
0.014,2.849719511,
0.016,2.86993485,
0.018,2.786737306,
0.02,2.612867897,
0.022,2.365580869,
0.024,2.065281988,
0.026,1.733982257,
0.028,1.393684368,
0.03,1.064823113,
0.032,0.764875613,
0.034,0.50724323,
0.036,0.30048529,
0.038,0.147957075,
0.04,0.047873035,
0.042,-0.00621685,
0.044,-0.024581469,
0.046,-0.020166067,
0.048,-0.007247849,
0.05,0,
0.052,-0.01108121,
0.054,-0.050365402,
0.056,-0.123915181,
0.058,-0.23328326,
0.06,-0.375200343,
0.062,-0.541677595,
0.064,-0.720519249,
0.066,-0.896208579,
0.068,-1.051100869,
0.07,-1.166832495,
0.072,-1.225837531,
0.074,-1.212853963,
0.076,-1.116301236,
0.078,-0.929419558,
0.08,-0.651078577,
0.082,-0.286187309,
0.084,0.15433314,
0.086,0.654019826,
0.088,1.191753604,
0.09,1.743001167,
0.092,2.281327357,
0.094,2.780070838,
0.096,3.214063405,
0.098,3.561269283,
0.1,3.804226065,
0.102,3.93118315,
0.104,3.93685546,
0.106,3.822738339,
0.108,3.596961671,
0.11,3.27369503,
0.112,2.872148504,
0.114,2.415243342,
0.116,1.928050423,
0.118,1.436111063,
0.12,0.963762591,
0.122,0.532589822,
0.124,0.16011323,
0.126,-0.141193993,
0.128,-0.364493222,
0.13,-0.50873562,
0.132,-0.578381743,
0.134,-0.582715022,
0.136,-0.534809127,
0.138,-0.450235093,
0.14,-0.34561318,
0.142,-0.237125485,
0.144,-0.139107364,
0.146,-0.062828717,
0.148,-0.015560627,
0.15,1.11E-15,
0.152,-0.014096413,
0.154,-0.051293597,
0.156,-0.101165262,
0.158,-0.150393834,
0.16,-0.184013529,
0.162,-0.186818089,
0.164,-0.144820096,
0.166,-0.046644132,
0.168,0.11525955,
0.17,0.343680971,
0.172,0.636075109,
0.174,0.984397284,
0.176,1.375369883,
0.178,1.791167992,
0.18,2.210479207,
0.182,2.609863821,
0.184,2.965317977,
0.186,3.253925993,
0.188,3.455480296,
0.19,3.55394866,
0.192,3.538678883,
0.194,3.405249725,
0.196,3.155902538,
0.198,2.799518669,
0.2,2.351141009,
0.202,1.831071594,
0.204,1.263608372,
0.206,0.675510767,
0.208,0.094303532,
0.21,-0.453459899,
0.212,-0.943850667,
0.214,-1.357017034,
0.216,-1.678334157,
0.218,-1.899171857,
0.22,-2.017229858,
0.222,-2.036422257,
0.224,-1.966326571,
0.226,-1.821244943,
0.228,-1.618953568,
0.23,-1.379239017,
0.232,-1.122335188,
0.234,-0.86738092,
0.236,-0.631015508,
0.238,-0.426217666,
0.24,-0.261473728,
0.242,-0.140334759,
0.244,-0.06139161,
0.246,-0.018664215,
0.248,-0.002369147,
0.25,3.55E-15,
0.252,0.002369147,
0.254,0.018664215,
0.256,0.06139161,
0.258,0.140334759,
0.26,0.261473728,
0.262,0.426217666,
0.264,0.631015508,
0.266,0.86738092,
0.268,1.122335188,
0.27,1.379239017,
0.272,1.618953568,
0.274,1.821244943,
0.276,1.966326571,
0.278,2.036422257,
0.28,2.017229858,
0.282,1.899171857,
0.284,1.678334157,
0.286,1.357017034,
0.288,0.943850667,
0.29,0.453459899,
0.292,-0.094303532,
0.294,-0.675510767,
0.296,-1.263608372,
0.298,-1.831071594,
0.3,-2.351141009,
0.302,-2.799518669,
0.304,-3.155902538,
0.306,-3.405249725,
0.308,-3.538678883,
0.31,-3.55394866,
0.312,-3.455480296,
0.314,-3.253925993,
0.316,-2.965317977,
0.318,-2.609863821,
0.32,-2.210479207,
0.322,-1.791167992,
0.324,-1.375369883,
0.326,-0.984397284,
0.328,-0.636075109,
0.33,-0.343680971,
0.332,-0.11525955,
0.334,0.046644132,
0.336,0.144820096,
0.338,0.186818089,
0.34,0.184013529,
0.342,0.150393834,
0.344,0.101165262,
0.346,0.051293597,
0.348,0.014096413,
0.35,3.22E-15,
0.352,0.015560627,
0.354,0.062828717,
0.356,0.139107364,
0.358,0.237125485,
0.36,0.34561318,
0.362,0.450235093,
0.364,0.534809127,
0.366,0.582715022,
0.368,0.578381743,
0.37,0.50873562,
0.372,0.364493222,
0.374,0.141193993,
0.376,-0.16011323,
0.378,-0.532589822,
0.38,-0.963762591,
0.382,-1.436111063,
0.384,-1.928050423,
0.386,-2.415243342,
0.388,-2.872148504,
0.39,-3.27369503,
0.392,-3.596961671,
0.394,-3.822738339,
0.396,-3.93685546,
0.398,-3.93118315,
0.4,-3.804226065,
0.402,-3.561269283,
0.404,-3.214063405,
0.406,-2.780070838,
0.408,-2.281327357,
0.41,-1.743001167,
0.412,-1.191753604,
0.414,-0.654019826,
0.416,-0.15433314,
0.418,0.286187309,
0.42,0.651078577,
0.422,0.929419558,
0.424,1.116301236,
0.426,1.212853963,
0.428,1.225837531,
0.43,1.166832495,
0.432,1.051100869,
0.434,0.896208579,
0.436,0.720519249,
0.438,0.541677595,
0.44,0.375200343,
0.442,0.23328326,
0.444,0.123915181,
0.446,0.050365402,
0.448,0.01108121,
0.45,-2.89E-15,
0.452,0.007247849,
0.454,0.020166067,
0.456,0.024581469,
0.458,0.00621685,
0.46,-0.047873035,
0.462,-0.147957075,
0.464,-0.30048529,
0.466,-0.50724323,
0.468,-0.764875613,
0.47,-1.064823113,
0.472,-1.393684368,
0.474,-1.733982257,
0.476,-2.065281988,
0.478,-2.365580869,
0.48,-2.612867897,
0.482,-2.786737306,
0.484,-2.86993485,
0.486,-2.849719511,
0.488,-2.718936063,
